customer_id,acount_id,acount_type,balance,credit_limit
C100052,A200052,Salary,82525.47,0
C100053,A200053,Salary,109509.62,50000
C100054,A200054,Savings,65256.4,0
C100055,A200055,Savings,34471.4,0
C100056,A200056,Savings,82622.97,0
C100057,A200057,Savings,504422.17,0
C100058,A200058,Salary,219794.97,0
C100059,A200059,Salary,1000,0
C100060,A200060,Salary,85715.65,50000
C100061,A200061,Premium,261548.73,403107.55
C100062,A200062,Current,93012.67,61631.35
C100063,A200063,Current,76195.76,48458.47
C100064,A200064,Salary,232994.48,0
C100065,A200065,Salary,179157.28,0
C100066,A200066,Salary,37962.14,0
C100067,A200067,Salary,182338.5,0
C100068,A200068,Savings,111697.17,0
C100069,A200069,Premium,372815.93,168333.31
C100070,A200070,Salary,87829.61,0
C100071,A200071,Savings,70575.33,0
C100072,A200072,Salary,232574,0
C100073,A200073,Savings,150864.66,0
C100074,A200074,Salary,169209.2,0
C100075,A200075,Premium,239794.59,354926.67
C100076,A200076,Savings,110359.66,0
C100077,A200077,Salary,150257.46,50000
C100078,A200078,Salary,57147.32,0
C100079,A200079,Salary,60455.55,0
C100080,A200080,Savings,199664.34,0
C100081,A200081,Savings,186838.74,0
C100082,A200082,Savings,123957.51,0
C100083,A200083,Savings,257798.03,0
C100084,A200084,Current,103439.93,144642.67
C100085,A200085,Salary,235319.09,50000
C100086,A200086,Premium,96980.21,74316.47
C100087,A200087,Savings,23321.86,0
C100088,A200088,Savings,123613.22,0
C100089,A200089,Salary,153649.81,50000
C100090,A200090,Savings,109695.69,0
C100091,A200091,Premium,110601.13,177028.91
C100092,A200092,Salary,159168.99,50000
C100093,A200093,Salary,266375.28,0
C100094,A200094,Savings,144562.11,0
C100095,A200095,Savings,179257.29,0
C100096,A200096,Savings,96988.38,0
C100097,A200097,Savings,94246.16,50000
C100098,A200098,Salary,244429.57,0
C100099,A200099,Savings,179795.06,50000
C100100,A200100,Current,247724.83,187712.1
C100101,A200101,Salary,49862.23,0
C100102,A200102,Savings,88130.13,0
C100103,A200103,Current,59197.51,379227.72
C100104,A200104,Salary,137333.5,0
C100105,A200105,Savings,99605.64,0
C100106,A200106,Savings,187396.4,0
C100107,A200107,Current,127558.99,125358.12
C100108,A200108,Current,178735.77,166930.77
C100109,A200109,Current,68841.07,399561.53
C100110,A200110,Savings,172353.33,50000
C100111,A200111,Savings,185073.66,0
C100112,A200112,Savings,77324.94,0
C100113,A200113,Savings,230004.33,50000
C100114,A200114,Salary,269586.74,50000
C100115,A200115,Current,103202.1,223478.86
C100116,A200116,Current,75161.24,178602.03
C100117,A200117,Savings,241047.76,0
C100118,A200118,Savings,106006.29,0
C100119,A200119,Salary,117112.98,0
C100120,A200120,Salary,193790.58,0
C100121,A200121,Salary,168695.52,0
C100122,A200122,Savings,164338.17,50000
C100123,A200123,Current,373536.87,740571.38
C100124,A200124,Salary,338334.6,0
C100125,A200125,Premium,83600.69,166727.16
C100126,A200126,Premium,84622.45,129796.28
C100127,A200127,Premium,128709.39,145532.71
C100128,A200128,Salary,335205.81,50000
C100129,A200129,Current,383245.75,176349.64
C100130,A200130,Savings,100343.96,0
C100131,A200131,Salary,51218.89,0
C100132,A200132,Savings,259807.45,0
C100133,A200133,Savings,50982.83,0
C100134,A200134,Salary,98898.31,0
C100135,A200135,Salary,237175,50000
C100136,A200136,Salary,180633.12,0
C100137,A200137,Savings,193729.78,0
C100138,A200138,Current,118790.86,124462.42
C100139,A200139,Premium,145340.92,207600.02
C100140,A200140,Salary,123065.9,0
C100141,A200141,Current,184479.63,277945.23
C100142,A200142,Current,191830.33,133636.68
C100143,A200143,Premium,77390,386256.78
C100144,A200144,Savings,493486.46,0
C100145,A200145,Savings,86691.56,0
C100146,A200146,Savings,187538.16,0
C100147,A200147,Savings,125555.02,0
C100148,A200148,Savings,97908.89,50000
C100149,A200149,Current,71581.39,172455.82
C100150,A200150,Savings,77069.5,0
C100151,A200151,Savings,240765.69,0
C100152,A200152,Savings,89040.05,0
C100153,A200153,Premium,203163.87,124743.48
C100154,A200154,Current,87247.59,146095.41
C100155,A200155,Savings,85994.44,0
C100156,A200156,Savings,44871.39,50000
C100157,A200157,Savings,153622.1,0
C100158,A200158,Salary,148689.8,0
C100159,A200159,Current,533137.35,254566.16
C100160,A200160,Premium,99443.81,259613.63
C100161,A200161,Current,90389.59,162442.87
C100162,A200162,Premium,60026.26,91430.71
C100163,A200163,Savings,310003.59,0
C100164,A200164,Salary,73802.84,0
C100165,A200165,Salary,64885.87,0
C100166,A200166,Savings,95251.13,0
C100167,A200167,Savings,105585.12,0
C100168,A200168,Current,14996.39,119720.37
C100169,A200169,Savings,59142.89,0
C100170,A200170,Salary,113639.68,50000
C100171,A200171,Salary,333552.16,50000
C100172,A200172,Savings,173029.11,0
C100173,A200173,Savings,165354.1,0
C100174,A200174,Premium,11484.91,119371.74
C100175,A200175,Savings,99277.36,50000
C100176,A200176,Savings,104397.43,0
C100177,A200177,Savings,102638.82,50000
C100178,A200178,Premium,93653.15,91357.97
C100179,A200179,Salary,81481.32,0
C100180,A200180,Savings,142761.55,0
C100181,A200181,Savings,86190,0
C100182,A200182,Savings,102306.25,0
C100183,A200183,Savings,40691.31,0
C100184,A200184,Salary,98003.57,50000
C100185,A200185,Savings,151626.52,50000
C100186,A200186,Current,51726.92,153508.29
C100187,A200187,Current,79358.78,210426.58
C100188,A200188,Savings,92586.69,0
C100189,A200189,Premium,137753.82,141980.61
C100190,A200190,Savings,99416.37,0
C100191,A200191,Savings,83562.88,0
C100192,A200192,Salary,130351.26,50000
C100193,A200193,Savings,188494.26,0
C100194,A200194,Savings,174915.12,0
C100195,A200195,Savings,213607.55,0
C100196,A200196,Savings,277557.07,0
C100197,A200197,Premium,68430.78,591008.64
C100198,A200198,Savings,174417.82,0
C100199,A200199,Savings,502920.4,0
C100200,A200200,Salary,223636.6,0
C100201,A200201,Savings,112416.3,0
C100202,A200202,Premium,153859.2,187678.43
C100203,A200203,Savings,43898.66,0
C100204,A200204,Savings,161317.48,0
C100205,A200205,Savings,90877.55,50000
C100206,A200206,Savings,185339.05,0
C100207,A200207,Savings,106905.93,0
C100208,A200208,Savings,283575.82,0
C100209,A200209,Current,114482.86,104971.94
C100210,A200210,Savings,204247.78,0
C100211,A200211,Savings,126038.14,0
C100212,A200212,Savings,160369.5,0
C100213,A200213,Current,172929.56,177240.53
C100214,A200214,Savings,233792.79,0
C100215,A200215,Savings,300173.51,0
C100216,A200216,Salary,135773.16,0
C100217,A200217,Savings,220725.33,50000
C100218,A200218,Savings,34519.01,50000
C100219,A200219,Savings,103773.49,0
C100220,A200220,Savings,18517.66,0
C100221,A200221,Salary,160526.07,0
C100222,A200222,Savings,162626.53,0
C100223,A200223,Savings,54340.73,0
C100224,A200224,Savings,497955.82,0
C100225,A200225,Premium,126008.16,93645.12
C100226,A200226,Savings,49707.82,50000
C100227,A200227,Current,283491.78,566319.86
C100228,A200228,Savings,383181.17,0
C100229,A200229,Current,116448.05,191754.13
C100230,A200230,Current,143641.52,305038.35
C100231,A200231,Savings,285585.79,0
C100232,A200232,Savings,245684.23,0
C100233,A200233,Savings,260083,0
C100234,A200234,Savings,94987.12,0
C100235,A200235,Savings,163517.01,0
C100236,A200236,Savings,30414.53,0
C100237,A200237,Savings,110917.26,50000
C100238,A200238,Savings,143800.71,0
C100239,A200239,Current,34998.03,80478.68
C100240,A200240,Savings,139857.02,0
C100241,A200241,Savings,77737.59,0
C100242,A200242,Salary,110620.95,50000
C100243,A200243,Current,50601.57,60718.08
C100244,A200244,Premium,144551.93,340840.58
C100245,A200245,Salary,192309.74,0
C100246,A200246,Salary,1000,50000
C100247,A200247,Savings,50635.23,0
C100248,A200248,Salary,216197.84,50000
C100249,A200249,Salary,155166.06,0
C100250,A200250,Salary,65561.98,0
C100251,A200251,Savings,132370.75,0
C100252,A200252,Current,15592.56,73235.1
C100253,A200253,Current,75578.15,218411.74
C100254,A200254,Savings,262107.54,50000
C100255,A200255,Salary,239427.9,50000
C100256,A200256,Savings,327262.94,50000
C100257,A200257,Current,250790.72,353516.03
C100258,A200258,Current,378913.79,237907.05
C100259,A200259,Savings,76299.37,0
C100260,A200260,Salary,421507.36,50000
C100261,A200261,Salary,101183.91,0
C100262,A200262,Savings,175897.94,0
C100263,A200263,Savings,69688.28,50000
C100264,A200264,Current,162924.57,198450.71
C100265,A200265,Savings,57869.64,0
C100266,A200266,Savings,43904.57,0
C100267,A200267,Salary,121112.59,0
C100268,A200268,Premium,104287.02,288239.58
C100269,A200269,Savings,95493.24,0
C100270,A200270,Savings,99670.65,0
C100271,A200271,Current,204388.97,249405.8
C100272,A200272,Salary,25146.7,0
C100273,A200273,Salary,175862.66,0
C100274,A200274,Savings,63794.35,0
C100275,A200275,Current,92841.69,178316.79
C100276,A200276,Savings,66835.65,0
C100277,A200277,Salary,76527.52,0
C100278,A200278,Savings,233942.28,0
C100279,A200279,Salary,240471.44,0
C100280,A200280,Current,165895.97,287837
C100281,A200281,Salary,125303.67,0
C100282,A200282,Savings,235206.61,50000
C100283,A200283,Salary,125639.19,0
C100284,A200284,Premium,57281.64,237139.63
C100285,A200285,Premium,135437.71,91559.37
C100286,A200286,Premium,271757.34,235363.13
C100287,A200287,Savings,160000.15,0
C100288,A200288,Savings,148846.52,0
C100289,A200289,Savings,88390.6,50000
C100290,A200290,Savings,70433.99,0
C100291,A200291,Savings,49627.93,50000
C100292,A200292,Current,240832.64,200657.58
C100293,A200293,Salary,98271.4,0
C100294,A200294,Current,76189.03,148417.73
C100295,A200295,Salary,58726.38,50000
C100296,A200296,Savings,91367.09,0
C100297,A200297,Salary,227132.62,0
C100298,A200298,Savings,170270.74,0
C100299,A200299,Savings,69497.59,0
C100300,A200300,Savings,122732.07,50000
C100301,A200301,Salary,349725.02,50000
C100302,A200302,Premium,205441.56,219554.61
C100303,A200303,Savings,145417.43,50000
C100304,A200304,Savings,61801.36,50000
C100305,A200305,Salary,69890.74,0
C100306,A200306,Current,239927.33,128411.78
C100307,A200307,Current,110439.93,121449.44
C100308,A200308,Savings,180801.45,0
C100309,A200309,Salary,115700.27,0
C100310,A200310,Savings,136903.12,0
C100311,A200311,Savings,36927,0
C100312,A200312,Savings,52719.79,50000
C100313,A200313,Premium,200253.46,218673.93
C100314,A200314,Savings,212589.5,0
C100315,A200315,Salary,134448,0
C100316,A200316,Savings,87740.57,0
C100317,A200317,Savings,151032.91,0
C100318,A200318,Premium,177959.29,203170.85
C100319,A200319,Savings,260729.38,0
C100320,A200320,Salary,107618.46,0
C100321,A200321,Premium,122223.94,368600.07
C100322,A200322,Salary,117074.23,50000
C100323,A200323,Savings,210453.36,50000
C100324,A200324,Salary,79490.27,0
C100325,A200325,Salary,210291.19,0
C100326,A200326,Premium,127958.19,206329.89
C100327,A200327,Salary,164286.32,50000
C100328,A200328,Savings,131160.14,0
C100329,A200329,Salary,240397.38,50000
C100330,A200330,Savings,302138.28,0
C100331,A200331,Savings,32109.52,0
C100332,A200332,Current,158516.18,185779.74
C100333,A200333,Salary,142989.8,50000
C100334,A200334,Current,253123.04,260373.62
C100335,A200335,Salary,36768.34,0
C100336,A200336,Savings,46017.53,0
C100337,A200337,Savings,169952.31,0
C100338,A200338,Savings,33861,0
C100339,A200339,Savings,116565.53,0
C100340,A200340,Savings,233381.06,0
C100341,A200341,Premium,37652.16,100592.17
C100342,A200342,Current,43311.57,101921.92
C100343,A200343,Savings,92308.65,0
C100344,A200344,Savings,48670.9,0
C100345,A200345,Current,306604.14,212615.34
C100346,A200346,Savings,132832.32,0
C100347,A200347,Current,125572.74,178995.16
C100348,A200348,Savings,114889.02,0
C100349,A200349,Savings,262719.12,0
C100350,A200350,Salary,139830.28,0
C100351,A200351,Current,184176.23,161002.86
C100352,A200352,Savings,201797.46,0
C100353,A200353,Premium,414490.52,368354.16
C100354,A200354,Savings,168989.27,50000
C100355,A200355,Savings,144317,50000
C100356,A200356,Salary,168783.64,0
C100357,A200357,Salary,278543.41,50000
C100358,A200358,Savings,126884.97,0
C100359,A200359,Current,48008.67,39005.21
C100360,A200360,Savings,165124.49,50000
C100361,A200361,Premium,324938.65,170828.11
C100362,A200362,Salary,153884.13,50000
C100363,A200363,Savings,149244.71,50000
C100364,A200364,Savings,76349.04,0
C100365,A200365,Current,53333.54,225182
C100366,A200366,Current,397984.09,505663.56
C100367,A200367,Salary,154755.59,0
C100368,A200368,Premium,135571.85,173310.4
C100369,A200369,Savings,38730.99,0
C100370,A200370,Salary,134363.28,50000
C100371,A200371,Current,105720.32,217271.99
C100372,A200372,Savings,188335.09,0
C100373,A200373,Salary,268153.41,0
C100374,A200374,Savings,238136.17,0
C100375,A200375,Savings,156039.16,0
C100376,A200376,Salary,340406.15,50000
C100377,A200377,Current,98389.3,513338.57
C100378,A200378,Premium,69287.35,255077.41
C100379,A200379,Savings,38837.49,0
C100380,A200380,Savings,194924.34,0
C100381,A200381,Savings,337399.35,0
C100382,A200382,Savings,109451.91,50000
C100383,A200383,Premium,75661.06,225745.56
C100384,A200384,Savings,104379.24,50000
C100385,A200385,Current,137365.4,423697.4
C100386,A200386,Current,67257.26,139153.88
C100387,A200387,Salary,302136.83,0
C100388,A200388,Current,358559.81,535905.42
C100389,A200389,Current,152469.92,285527.26
C100390,A200390,Salary,531585.09,0
C100391,A200391,Savings,230977.78,0
C100392,A200392,Premium,136677.91,413566.09
C100393,A200393,Salary,98758.98,0
C100394,A200394,Savings,124318.53,0
C100395,A200395,Salary,191578.07,0
C100396,A200396,Salary,66885.36,50000
C100397,A200397,Salary,128039.19,0
C100398,A200398,Savings,172433.27,0
C100399,A200399,Salary,107128.22,0
C100400,A200400,Savings,78695.62,50000
C100401,A200401,Savings,332687.18,0
C100402,A200402,Salary,118205.06,0
C100403,A200403,Salary,144132.93,0
C100404,A200404,Current,57339.38,184096.56
C100405,A200405,Current,194169.1,113987.5
C100406,A200406,Salary,128936.56,0
C100407,A200407,Premium,59588.2,436342.8
C100408,A200408,Savings,162465.72,0
C100409,A200409,Savings,124525.81,0
C100410,A200410,Salary,35068.31,0
C100411,A200411,Savings,128470.05,0
C100412,A200412,Savings,169048.64,50000
C100413,A200413,Current,335984.36,440844.4
C100414,A200414,Current,147923.62,114202.95
C100415,A200415,Savings,286502.15,0
C100416,A200416,Salary,53282.21,0
C100417,A200417,Savings,164841.53,0
C100418,A200418,Savings,341348.84,0
C100419,A200419,Savings,153168.42,50000
C100420,A200420,Savings,142174.15,0
C100421,A200421,Current,134916.91,185227.45
C100422,A200422,Savings,120153.91,50000
C100423,A200423,Salary,203567.6,0
C100424,A200424,Salary,124538.09,50000
C100425,A200425,Savings,209750.13,0
C100426,A200426,Savings,138654.52,0
C100427,A200427,Savings,4342.17,0
C100428,A200428,Current,131603.5,441973.78
C100429,A200429,Savings,94032.74,0
C100430,A200430,Salary,120884.1,0
C100431,A200431,Savings,372374.39,50000
C100432,A200432,Premium,136481.68,43603.71
C100433,A200433,Current,69366.57,335383.22
C100434,A200434,Salary,121273.01,50000
C100435,A200435,Current,251825.07,94922.35
C100436,A200436,Current,212980.82,101615.81
C100437,A200437,Salary,298472.63,0
C100438,A200438,Salary,101085.94,0
C100439,A200439,Current,261990.98,623384.23
C100440,A200440,Salary,130722.72,50000
C100441,A200441,Savings,133427.91,0
C100442,A200442,Savings,171053.41,50000
C100443,A200443,Savings,278229.97,50000
C100444,A200444,Salary,77556.98,0
C100445,A200445,Savings,128146.3,50000
C100446,A200446,Salary,151371.62,0
C100447,A200447,Savings,237559.43,0
C100448,A200448,Savings,39960.68,50000
C100449,A200449,Savings,89365.91,0
C100450,A200450,Savings,39881.69,0
C100451,A200451,Current,321484.08,948390.43
C100452,A200452,Savings,134393.2,0
C100453,A200453,Savings,283570.76,50000
C100454,A200454,Salary,107905.43,0
C100455,A200455,Savings,113066.76,0
C100456,A200456,Savings,69687.84,50000
C100457,A200457,Salary,247000.86,50000
C100458,A200458,Savings,74204.22,0
C100459,A200459,Savings,156994.81,0
C100460,A200460,Savings,84144.67,50000
C100461,A200461,Savings,179422.43,0
C100462,A200462,Savings,315294.26,0
C100463,A200463,Savings,175536.38,0
C100464,A200464,Savings,109314.27,0
C100465,A200465,Savings,150502.99,0
C100466,A200466,Savings,102077.09,0
C100467,A200467,Savings,6698.16,0
C100468,A200468,Savings,197271.15,50000
C100469,A200469,Savings,91341.95,0
C100470,A200470,Salary,100521.09,0
C100471,A200471,Salary,39710.52,0
C100472,A200472,Salary,120076.87,0
C100473,A200473,Salary,38002.9,0
C100474,A200474,Current,116219.11,330637.29
C100475,A200475,Current,177780.37,476573.93
C100476,A200476,Savings,108736.8,0
C100477,A200477,Savings,151904.28,0
C100478,A200478,Savings,43124.51,0
C100479,A200479,Savings,108034.16,0
C100480,A200480,Premium,129067.83,158654.58
C100481,A200481,Premium,222791.99,370244.21
C100482,A200482,Savings,115193.45,0
C100483,A200483,Current,205596.89,59915.06
C100484,A200484,Savings,190319.69,0
C100485,A200485,Salary,165193.39,0
C100486,A200486,Current,159850.25,54766.74
C100487,A200487,Savings,126077.82,50000
C100488,A200488,Salary,129093.71,0
C100489,A200489,Current,256755.86,574337.4
C100490,A200490,Current,56913.14,127637.04
C100491,A200491,Savings,54492.03,0
C100492,A200492,Premium,234353.14,148670.87
C100493,A200493,Salary,278675.15,0
C100494,A200494,Current,150059.85,235408.57
C100495,A200495,Savings,72150.28,50000
C100496,A200496,Savings,251809.56,0
C100497,A200497,Salary,136011.85,50000
C100498,A200498,Savings,179219.49,50000
C100499,A200499,Savings,234940.47,50000
C100500,A200500,Savings,99707.85,0
C100501,A200501,Savings,157259.42,50000
C100502,A200502,Savings,62304.76,0
C100503,A200503,Savings,241630.97,50000
C100504,A200504,Savings,246064.05,0
C100505,A200505,Salary,340903.32,0
C100506,A200506,Savings,236350.68,0
C100507,A200507,Savings,81199.2,0
C100508,A200508,Salary,121646.55,0
C100509,A200509,Savings,189797.44,0
C100510,A200510,Savings,155777.73,0
C100511,A200511,Savings,154216.85,0
C100512,A200512,Salary,66244.57,0
C100513,A200513,Salary,219361.13,0
C100514,A200514,Savings,188203.8,50000
C100515,A200515,Salary,28229.65,50000
C100516,A200516,Premium,158540.44,244170.23
C100517,A200517,Savings,77375.88,50000
C100518,A200518,Current,184419.06,60486.41
C100519,A200519,Savings,43619.48,0
C100520,A200520,Current,83640.74,326661.1
C100521,A200521,Current,49027.31,242804.75
C100522,A200522,Salary,62593.72,0
C100523,A200523,Current,207815.99,314976.31
C100524,A200524,Current,259002.94,127280.46
C100525,A200525,Savings,111777.53,0
C100526,A200526,Savings,127526.24,50000
C100527,A200527,Salary,99279.39,0
C100528,A200528,Savings,110978.46,50000
C100529,A200529,Savings,122485.08,0
C100530,A200530,Savings,92815.38,50000
C100531,A200531,Savings,317417.27,0
C100532,A200532,Savings,111550.71,0
C100533,A200533,Salary,71326.74,0
C100534,A200534,Savings,177688.61,0
C100535,A200535,Current,52054.82,123761.73
C100536,A200536,Savings,242217.54,0
C100537,A200537,Salary,205870.65,0
C100538,A200538,Savings,26236.57,0
C100539,A200539,Salary,287336.95,0
C100540,A200540,Savings,122811.71,0
C100541,A200541,Current,9075.42,263703.44
C100542,A200542,Savings,230972.14,0
C100543,A200543,Salary,110387.65,0
C100544,A200544,Savings,134128.35,0
C100545,A200545,Savings,169749.37,0
C100546,A200546,Savings,253620.67,50000
C100547,A200547,Salary,322541.67,0
C100548,A200548,Savings,129638.27,0
C100549,A200549,Salary,428295.4,0
C100550,A200550,Premium,155153.01,115601.22
C100551,A200551,Savings,95971.28,0
C100552,A200552,Premium,105170.96,219321.6
C100553,A200553,Savings,94471.88,50000
C100554,A200554,Salary,11100.92,0
C100555,A200555,Premium,77891.17,66827.56
C100556,A200556,Premium,11688.74,187048.57
C100557,A200557,Savings,283167.83,50000
C100558,A200558,Salary,117240.07,0
C100559,A200559,Savings,211170.02,50000
C100560,A200560,Savings,230588.59,50000
C100561,A200561,Savings,49631.42,0
C100562,A200562,Savings,224472.76,0
C100563,A200563,Salary,201087.37,50000
C100564,A200564,Savings,139773.2,0
C100565,A200565,Premium,275075.2,260465.01
C100566,A200566,Current,92439.53,277646.74
C100567,A200567,Salary,255043.84,0
C100568,A200568,Salary,149479.47,50000
C100569,A200569,Salary,49379.8,0
C100570,A200570,Savings,80101.7,50000
C100571,A200571,Current,177353.23,331382.53
C100572,A200572,Savings,97996.86,50000
C100573,A200573,Savings,74117.84,50000
C100574,A200574,Savings,208325.66,50000
C100575,A200575,Current,144398.25,287722.7
C100576,A200576,Savings,112910.92,50000
C100577,A200577,Savings,216771.08,0
C100578,A200578,Savings,158717.28,50000
C100579,A200579,Savings,269598.25,0
C100580,A200580,Current,52381.07,158029.54
C100581,A200581,Current,143635.68,116087.98
C100582,A200582,Premium,257171.72,193164.96
C100583,A200583,Savings,236866.91,0
C100584,A200584,Savings,211503.72,0
C100585,A200585,Savings,218294.21,0
C100586,A200586,Premium,144865.03,393198.59
C100587,A200587,Savings,100350.76,50000
C100588,A200588,Savings,144031.76,50000
C100589,A200589,Savings,92259.71,0
C100590,A200590,Savings,83640.86,0
C100591,A200591,Savings,121612.72,50000
C100592,A200592,Salary,146731.58,50000
C100593,A200593,Salary,82265.23,0
C100594,A200594,Savings,187199.06,0
C100595,A200595,Savings,207034.03,0
C100596,A200596,Savings,95726.42,0
C100597,A200597,Salary,200480.44,0
C100598,A200598,Salary,146561.53,0
C100599,A200599,Salary,151287.62,0
C100600,A200600,Savings,170514.67,0
C100601,A200601,Salary,76829.39,0
C100602,A200602,Premium,53643.1,315006.06
C100603,A200603,Salary,168940.29,0
C100604,A200604,Savings,104890.85,0
C100605,A200605,Current,120225.09,153555.08
C100606,A200606,Salary,183173.15,50000
C100607,A200607,Savings,127232.66,50000
C100608,A200608,Savings,127426.41,0
C100609,A200609,Current,88387.45,264517.76
C100610,A200610,Salary,42107.58,50000
C100611,A200611,Premium,202610.09,230132.1
C100612,A200612,Savings,302720.36,50000
C100613,A200613,Salary,197253.57,0
C100614,A200614,Savings,99642.69,50000
C100615,A200615,Premium,85024.36,61582.31
C100616,A200616,Savings,252964.28,0
C100617,A200617,Savings,131969.32,0
C100618,A200618,Savings,158059.81,0
C100619,A200619,Current,115195.34,79099.13
C100620,A200620,Savings,148876.17,0
C100621,A200621,Salary,218255.61,0
C100622,A200622,Savings,229359.42,0
C100623,A200623,Savings,249442.52,0
C100624,A200624,Savings,282020.34,50000
C100625,A200625,Savings,203256.21,0
C100626,A200626,Savings,125724.55,0
C100627,A200627,Current,77383.15,270640.32
C100628,A200628,Savings,91601.57,0
C100629,A200629,Savings,311861.58,0
C100630,A200630,Current,115561.02,455574.43
C100631,A200631,Savings,55378.05,50000
C100632,A200632,Current,194206.82,290334.46
C100633,A200633,Premium,207838.08,308431.1
C100634,A200634,Savings,257790.46,0
C100635,A200635,Salary,93915.01,50000
C100636,A200636,Salary,98898.8,50000
C100637,A200637,Savings,110281.21,0
C100638,A200638,Current,58423.95,136017.58
C100639,A200639,Savings,38195.27,0
C100640,A200640,Savings,201933.97,0
C100641,A200641,Salary,59861.72,50000
C100642,A200642,Salary,109487.72,0
C100643,A200643,Premium,215614.32,459380.25
C100644,A200644,Current,122878.66,191362.4
C100645,A200645,Savings,176698.49,0
C100646,A200646,Salary,136640.41,0
C100647,A200647,Current,1000,109291.87
C100648,A200648,Current,211308.03,288192.33
C100649,A200649,Salary,103944.75,0
C100650,A200650,Premium,80743,128843.81
C100651,A200651,Savings,259938.04,0
C100652,A200652,Savings,35300.17,0
C100653,A200653,Salary,209357.81,50000
C100654,A200654,Current,127597.8,328660.69
C100655,A200655,Salary,62754.22,0
C100656,A200656,Savings,259486.96,0
C100657,A200657,Savings,43930.91,0
C100658,A200658,Savings,160150.39,50000
C100659,A200659,Current,259859.69,277499.26
C100660,A200660,Savings,113610.11,0
C100661,A200661,Salary,172509.16,0
C100662,A200662,Premium,160033.46,108307.38
C100663,A200663,Savings,53564.31,0
C100664,A200664,Savings,56342.16,0
C100665,A200665,Savings,225401.14,50000
C100666,A200666,Savings,124725.96,50000
C100667,A200667,Savings,117490.1,0
C100668,A200668,Savings,178279.42,50000
C100669,A200669,Current,139666.03,369436.48
C100670,A200670,Savings,177289.34,50000
C100671,A200671,Salary,177207.18,50000
C100672,A200672,Premium,33640.47,68118.5
C100673,A200673,Savings,198164.04,0
C100674,A200674,Salary,139802.95,0
C100675,A200675,Savings,195875.03,50000
C100676,A200676,Savings,160488.79,0
C100677,A200677,Current,95649.68,270155.01
C100678,A200678,Savings,139767.51,0
C100679,A200679,Savings,190282.98,50000
C100680,A200680,Savings,123216.09,0
C100681,A200681,Premium,128367.7,162775.83
C100682,A200682,Savings,138111.26,0
C100683,A200683,Salary,177686.04,0
C100684,A200684,Salary,477982.31,0
C100685,A200685,Savings,157442.95,0
C100686,A200686,Savings,95398.09,0
C100687,A200687,Savings,52377.65,50000
C100688,A200688,Savings,147258.16,50000
C100689,A200689,Savings,17010.17,0
C100690,A200690,Savings,283033.41,50000
C100691,A200691,Savings,93839.79,50000
C100692,A200692,Savings,121701.19,0
C100693,A200693,Current,289412.14,300351.48
C100694,A200694,Savings,193124.46,50000
C100695,A200695,Premium,148153.73,221252.93
C100696,A200696,Savings,216416.23,0
C100697,A200697,Current,63252.36,57782.72
C100698,A200698,Premium,636763.2,1000000
C100699,A200699,Savings,82303.39,0
C100700,A200700,Current,278003.74,214346.12
C100701,A200701,Savings,157339.57,0
C100702,A200702,Premium,231881.57,248898.43
C100703,A200703,Salary,64247.32,0
C100704,A200704,Savings,210376.56,0
C100705,A200705,Salary,134492.26,50000
