customer_id,monthly_txn_avg,last_transaction_date,complaint_count,login_frequency_monthly,churn_probability,churn_flag,Risk_Segment
C100103,0.7,24-03-2026,0,17,0.16,No,Low Risk
C100104,1,29-06-2026,0,9,0.135,Yes,Low Risk
C100105,0.8,31-05-2026,1,3,0.17,No,Medium Risk
C100106,1.2,17-05-2026,0,11,0.135,No,Low Risk
C100107,1,30-04-2026,2,19,0.16,No,Medium Risk
C100108,1.2,25-06-2026,0,14,0.135,No,Low Risk
C100109,1.1,17-06-2026,1,9,0.135,No,Medium Risk
C100110,1,10-06-2026,2,8,0.16,No,Medium Risk
C100111,1,23-05-2026,3,9,0.16,No,Medium Risk
C100112,1.2,19-06-2026,0,3,0.17,No,Low Risk
C100113,0.8,05-05-2026,1,13,0.135,No,Medium Risk
C100114,0.8,30-06-2026,1,15,0.135,No,Medium Risk
C100115,0.7,09-05-2026,0,13,0.135,No,Low Risk
C100116,0.8,20-05-2026,0,8,0.135,No,Low Risk
C100117,0.7,10-04-2026,1,3,0.17,No,Medium Risk
C100118,0.7,27-06-2026,0,13,0.135,No,Low Risk
C100119,0.6,09-06-2026,1,14,0.135,No,Medium Risk
C100120,0.9,26-04-2026,0,9,0.135,Yes,Low Risk
C100121,1.1,28-06-2026,0,6,0.135,No,Low Risk
C100122,1.2,11-06-2026,1,15,0.135,No,Medium Risk
C100123,0.8,10-05-2026,0,16,0.135,No,Low Risk
C100124,0.7,25-05-2026,0,5,0.135,No,Low Risk
C100125,1.2,27-05-2026,1,12,0.135,No,Medium Risk
C100126,0.8,19-05-2026,4,10,0.16,No,Medium Risk
C100127,0.7,28-04-2026,2,4,0.16,No,Medium Risk
C100128,0.9,15-06-2026,3,6,0.16,No,Medium Risk
C100129,0.9,27-05-2026,3,13,0.16,No,Medium Risk
C100130,1.2,18-05-2026,1,10,0.135,No,Medium Risk
C100131,0.4,29-06-2026,1,9,0.135,No,Medium Risk
C100132,1.1,13-06-2026,1,2,0.17,No,Medium Risk
C100133,0.9,30-05-2026,2,11,0.16,No,Medium Risk
C100134,0.4,19-05-2026,1,9,0.135,No,Medium Risk
C100135,1,01-05-2026,1,5,0.135,No,Medium Risk
C100136,0.8,06-05-2026,0,0,0.17,No,Low Risk
C100137,1.1,14-05-2026,1,1,0.17,Yes,Medium Risk
C100138,1.2,28-06-2026,0,3,0.17,No,Low Risk
C100139,0.9,28-05-2026,2,12,0.16,No,Medium Risk
C100140,1.1,22-06-2026,1,10,0.135,No,Medium Risk
C100141,0.7,24-04-2026,0,5,0.135,No,Low Risk
C100142,0.7,18-06-2026,0,7,0.135,No,Low Risk
C100143,0.6,05-05-2026,0,12,0.135,No,Low Risk
C100144,1,15-06-2026,0,7,0.135,Yes,Low Risk
C100145,0.6,28-02-2026,1,10,0.16,No,Medium Risk
C100146,1.2,21-03-2026,0,9,0.16,No,Low Risk
C100147,0.8,20-05-2026,1,9,0.135,Yes,Medium Risk
C100148,0.6,12-05-2026,1,9,0.135,No,Medium Risk
C100149,0.7,15-06-2026,0,12,0.135,No,Low Risk
C100150,0.8,10-06-2026,1,13,0.135,No,Medium Risk
C100151,1,14-05-2026,2,9,0.16,No,Medium Risk
C100152,1,29-06-2026,0,12,0.135,No,Low Risk
C100153,1.2,30-06-2026,0,5,0.135,No,Low Risk
C100154,0.7,05-06-2026,0,8,0.135,No,Low Risk
C100155,1.1,17-06-2026,2,15,0.16,No,Medium Risk
C100156,0.5,26-04-2026,1,10,0.135,No,Medium Risk
C100157,0.6,24-06-2026,1,2,0.17,No,Medium Risk
C100158,1.1,24-06-2026,1,10,0.135,No,Medium Risk
C100159,1.1,11-06-2026,0,7,0.135,No,Low Risk
C100160,1,22-06-2026,1,13,0.135,No,Medium Risk
C100161,1.1,08-05-2026,1,0,0.17,No,Medium Risk
C100162,0.8,03-06-2026,1,18,0.135,No,Medium Risk
C100163,0.9,28-06-2026,2,9,0.16,No,Medium Risk
C100164,0.5,09-05-2026,2,8,0.16,Yes,Medium Risk
C100165,0.9,21-06-2026,0,13,0.135,No,Low Risk
C100166,1.1,14-06-2026,1,21,0.135,No,Medium Risk
C100167,1.1,19-06-2026,1,8,0.135,No,Medium Risk
C100168,0.8,31-05-2026,2,14,0.16,No,Medium Risk
C100169,0.9,25-06-2026,1,14,0.135,No,Medium Risk
C100170,0.7,15-06-2026,0,9,0.135,Yes,Low Risk
C100171,0.6,30-06-2026,1,8,0.135,No,Medium Risk
C100172,1.1,21-05-2026,0,3,0.17,No,Low Risk
C100173,1.1,10-06-2026,1,8,0.135,No,Medium Risk
C100174,0.7,05-06-2026,0,2,0.17,No,Low Risk
C100175,0.8,14-04-2026,1,11,0.135,No,Medium Risk
C100176,0.9,01-05-2026,1,9,0.135,No,Medium Risk
C100177,0.8,11-06-2026,0,5,0.135,No,Low Risk
C100178,1.1,15-06-2026,1,13,0.135,No,Medium Risk
C100179,1.1,02-06-2026,0,10,0.135,No,Low Risk
C100180,0.5,08-05-2026,1,4,0.135,No,Medium Risk
C100181,0.7,23-05-2026,0,4,0.135,Yes,Low Risk
C100182,1.1,22-06-2026,0,13,0.135,No,Low Risk
C100183,0.9,23-04-2026,0,9,0.135,Yes,Low Risk
C100184,0.7,06-06-2026,2,10,0.16,Yes,Medium Risk
C100185,1.1,24-05-2026,1,4,0.135,No,Medium Risk
C100186,0.8,14-05-2026,2,6,0.16,No,Medium Risk
C100187,0.9,04-05-2026,1,7,0.135,No,Medium Risk
C100188,0.7,25-06-2026,0,7,0.135,No,Low Risk
C100189,1.2,04-06-2026,0,14,0.135,No,Low Risk
C100190,0.8,27-05-2026,0,12,0.135,Yes,Low Risk
C100191,0.7,18-02-2026,0,13,0.16,No,Low Risk
C100192,1.4,24-06-2026,0,8,0.135,Yes,Low Risk
C100193,0.9,22-05-2026,0,9,0.135,No,Low Risk
C100194,1.2,24-06-2026,2,10,0.16,No,Medium Risk
C100195,0.7,18-02-2026,2,11,0.185,No,Medium Risk
C100196,1.6,17-04-2026,0,10,0.135,Yes,Low Risk
C100197,0.6,09-06-2026,1,10,0.135,No,Medium Risk
C100198,0.8,20-04-2026,1,18,0.135,Yes,Medium Risk
C100199,0.9,02-05-2026,0,7,0.135,Yes,Low Risk
C100200,0.9,20-06-2026,0,3,0.17,No,Low Risk
C100201,0.5,02-06-2026,0,6,0.135,No,Low Risk
C100202,1,29-06-2026,2,1,0.195,No,Medium Risk
C100203,0.6,02-06-2026,0,2,0.17,No,Low Risk
C100204,0.9,28-06-2026,1,7,0.135,No,Medium Risk
C100205,0.9,24-04-2026,0,4,0.135,No,Low Risk
C100206,0.6,24-05-2026,3,10,0.16,Yes,Medium Risk
C100207,0.9,30-06-2026,2,14,0.16,No,Medium Risk
C100208,1.1,17-06-2026,0,11,0.135,No,Low Risk
C100209,0.8,03-06-2026,0,7,0.135,Yes,Low Risk
C100210,0.6,17-03-2026,0,18,0.16,No,Low Risk
C100211,1.1,24-06-2026,1,10,0.135,No,Medium Risk
C100212,1.1,29-05-2026,0,8,0.135,No,Low Risk
C100213,0.8,13-06-2026,0,12,0.135,No,Low Risk
C100214,1.2,27-05-2026,0,9,0.135,No,Low Risk
C100215,1.1,04-03-2026,2,10,0.185,No,Medium Risk
C100216,0.9,26-05-2026,1,4,0.135,No,Medium Risk
C100217,0.7,19-06-2026,0,14,0.135,No,Low Risk
C100218,1,20-06-2026,0,16,0.135,No,Low Risk
C100219,0.8,29-05-2026,2,8,0.16,No,Medium Risk
C100220,1.1,08-06-2026,0,9,0.135,No,Low Risk
C100221,0.9,19-06-2026,0,6,0.135,No,Low Risk
C100222,1.1,29-06-2026,1,10,0.135,No,Medium Risk
C100223,0.8,30-06-2026,0,8,0.135,No,Low Risk
C100224,1.2,21-06-2026,0,12,0.135,No,Low Risk
C100225,0.8,03-03-2026,0,12,0.16,No,Low Risk
C100226,0.4,09-06-2026,0,5,0.135,No,Low Risk
C100227,1.1,29-04-2026,1,1,0.17,No,Medium Risk
C100228,1.1,26-06-2026,0,14,0.135,No,Low Risk
C100229,0.9,14-05-2026,1,11,0.135,Yes,Medium Risk
C100230,0.8,22-05-2026,1,7,0.135,No,Medium Risk
C100231,0.9,15-06-2026,1,5,0.135,No,Medium Risk
C100232,1,13-06-2026,0,13,0.135,No,Low Risk
C100233,1.1,29-06-2026,1,7,0.135,No,Medium Risk
C100234,0.9,23-05-2026,0,11,0.135,No,Low Risk
C100235,1,26-06-2026,0,7,0.135,No,Low Risk
C100236,1,25-05-2026,2,14,0.16,Yes,Medium Risk
C100237,0.9,30-05-2026,1,10,0.135,No,Medium Risk
C100238,0.6,05-06-2026,0,4,0.135,No,Low Risk
C100239,1.2,28-05-2026,1,9,0.135,No,Medium Risk
C100240,0.7,14-05-2026,0,14,0.135,No,Low Risk
C100241,0.6,21-04-2026,2,7,0.16,Yes,Medium Risk
C100242,0.6,30-06-2026,3,9,0.16,No,Medium Risk
C100243,1,06-04-2026,1,7,0.135,No,Medium Risk
C100244,0.8,29-06-2026,2,9,0.16,No,Medium Risk
C100245,0.7,18-05-2026,0,14,0.135,No,Low Risk
C100246,0.8,04-06-2026,1,3,0.17,No,Medium Risk
C100247,0.9,11-06-2026,1,11,0.135,No,Medium Risk
C100248,0.4,30-05-2026,4,7,0.16,No,Medium Risk
C100249,0.9,21-06-2026,0,8,0.135,No,Low Risk
C100250,0.7,21-05-2026,3,10,0.16,No,Medium Risk
C100251,0.5,03-06-2026,0,5,0.135,No,Low Risk
C100252,1,06-05-2026,0,11,0.135,No,Low Risk
C100253,0.8,07-06-2026,2,9,0.16,No,Medium Risk
C100254,0.8,19-06-2026,0,12,0.135,No,Low Risk
C100255,0.6,14-06-2026,0,13,0.135,No,Low Risk
C100256,0.9,03-06-2026,1,12,0.135,No,Medium Risk
C100257,0.7,27-06-2026,0,5,0.135,No,Low Risk
C100258,1.3,15-06-2026,0,6,0.135,No,Low Risk
C100259,0.9,29-05-2026,0,8,0.135,No,Low Risk
C100260,1,30-06-2026,0,6,0.135,No,Low Risk
C100261,0.8,19-03-2026,3,7,0.185,No,Medium Risk
C100262,0.9,03-06-2026,1,11,0.135,No,Medium Risk
C100263,0.9,23-05-2026,1,9,0.135,No,Medium Risk
C100264,0.6,19-05-2026,1,5,0.135,No,Medium Risk
C100265,0.8,16-04-2026,1,11,0.135,No,Medium Risk
C100266,1.1,17-05-2026,1,6,0.135,No,Medium Risk
C100267,1.3,12-06-2026,2,14,0.16,No,Medium Risk
C100268,0.8,07-04-2026,0,6,0.135,Yes,Low Risk
C100269,1.1,27-03-2026,1,8,0.16,No,Medium Risk
C100270,0.8,12-04-2026,1,10,0.135,Yes,Medium Risk
C100271,0.6,22-04-2026,0,10,0.135,No,Low Risk
C100272,0.8,20-05-2026,1,11,0.135,No,Medium Risk
C100273,1,30-06-2026,1,10,0.135,No,Medium Risk
C100274,0.8,21-06-2026,3,11,0.16,Yes,Medium Risk
C100275,0.8,25-06-2026,1,11,0.135,Yes,Medium Risk
C100276,0.9,11-06-2026,1,24,0.135,No,Medium Risk
C100277,1.3,23-06-2026,0,4,0.135,No,Low Risk
C100278,0.8,09-06-2026,0,11,0.135,No,Low Risk
C100279,0.8,25-04-2026,2,16,0.16,No,Medium Risk
C100280,1.2,05-06-2026,1,14,0.135,No,Medium Risk
C100281,0.6,26-06-2026,1,14,0.135,No,Medium Risk
C100282,1.1,16-06-2026,1,10,0.135,No,Medium Risk
C100283,0.9,27-06-2026,1,6,0.135,Yes,Medium Risk
C100284,1.2,15-06-2026,1,13,0.135,Yes,Medium Risk
C100285,0.9,27-06-2026,0,11,0.135,No,Low Risk
C100286,0.7,24-06-2026,0,16,0.135,No,Low Risk
C100287,0.6,16-06-2026,2,2,0.195,No,Medium Risk
C100288,1.2,08-06-2026,0,8,0.135,No,Low Risk
C100289,0.8,10-06-2026,1,5,0.135,No,Medium Risk
C100290,0.5,10-03-2026,1,13,0.16,No,Medium Risk
C100291,1.1,27-06-2026,2,6,0.16,No,Medium Risk
C100292,1.2,20-06-2026,0,15,0.135,No,Low Risk
C100293,0.9,24-06-2026,2,16,0.16,Yes,Medium Risk
C100294,0.9,19-06-2026,1,11,0.135,No,Medium Risk
C100295,0.6,30-05-2026,0,6,0.135,No,Low Risk
C100296,0.8,01-05-2026,0,8,0.135,No,Low Risk
C100297,0.8,29-05-2026,2,13,0.16,No,Medium Risk
C100298,0.7,02-05-2026,0,6,0.135,No,Low Risk
C100299,0.9,26-04-2026,0,5,0.135,No,Low Risk
C100300,1.1,04-06-2026,0,13,0.135,No,Low Risk
C100301,0.7,25-03-2026,1,8,0.16,Yes,Medium Risk
C100302,1.1,12-06-2026,1,9,0.135,No,Medium Risk
C100303,1.1,11-03-2026,4,13,0.185,Yes,Medium Risk
C100304,0.6,29-04-2026,1,7,0.135,No,Medium Risk
C100305,0.7,30-06-2026,2,7,0.16,Yes,Medium Risk
C100306,0.6,14-06-2026,1,18,0.135,No,Medium Risk
C100307,0.8,23-05-2026,0,11,0.135,Yes,Low Risk
C100308,0.7,06-05-2026,1,13,0.135,No,Medium Risk
C100309,1.1,02-04-2026,1,9,0.135,No,Medium Risk
C100310,1,18-05-2026,1,12,0.135,No,Medium Risk
C100311,0.8,07-04-2026,0,10,0.135,No,Low Risk
C100312,0.9,29-03-2026,2,7,0.185,No,Medium Risk
C100313,0.8,24-06-2026,1,15,0.135,No,Medium Risk
C100314,0.9,17-05-2026,2,7,0.16,No,Medium Risk
C100315,0.9,24-05-2026,2,11,0.16,No,Medium Risk
C100316,1.3,28-06-2026,0,12,0.135,No,Low Risk
C100317,0.6,16-06-2026,1,8,0.135,No,Medium Risk
C100318,0.8,30-05-2026,0,9,0.135,No,Low Risk
C100319,1,16-06-2026,0,6,0.135,No,Low Risk
C100320,0.6,27-06-2026,3,11,0.16,Yes,Medium Risk
C100321,1.2,13-05-2026,4,9,0.16,No,Medium Risk
C100322,0.9,28-06-2026,0,6,0.135,No,Low Risk
C100323,0.7,09-04-2026,2,17,0.16,No,Medium Risk
C100324,0.8,27-06-2026,6,8,0.16,No,Medium Risk
C100325,0.7,28-06-2026,3,4,0.16,No,Medium Risk
C100326,1,09-06-2026,1,5,0.135,No,Medium Risk
C100327,1.3,09-06-2026,1,9,0.135,No,Medium Risk
C100328,0.7,08-06-2026,3,12,0.16,No,Medium Risk
C100329,1.2,03-06-2026,2,8,0.16,No,Medium Risk
C100330,1.1,25-06-2026,0,4,0.135,No,Low Risk
C100331,0.6,29-06-2026,1,11,0.135,No,Medium Risk
C100332,0.7,25-05-2026,1,5,0.135,No,Medium Risk
C100333,0.8,18-06-2026,1,16,0.135,Yes,Medium Risk
C100334,0.9,23-06-2026,2,12,0.16,No,Medium Risk
C100335,1,03-04-2026,2,11,0.16,No,Medium Risk
C100336,0.8,25-05-2026,1,5,0.135,No,Medium Risk
C100337,0.9,27-06-2026,0,12,0.135,No,Low Risk
C100338,1,21-04-2026,1,2,0.17,Yes,Medium Risk
C100339,1.4,19-06-2026,2,9,0.16,Yes,Medium Risk
C100340,1.2,27-06-2026,0,7,0.135,Yes,Low Risk
C100341,0.6,22-05-2026,1,2,0.17,No,Medium Risk
C100342,0.9,02-05-2026,0,7,0.135,Yes,Low Risk
C100343,0.7,11-06-2026,0,6,0.135,No,Low Risk
C100344,0.7,28-05-2026,0,0,0.17,No,Low Risk
C100345,1.5,17-06-2026,1,6,0.135,No,Medium Risk
C100346,0.9,17-03-2026,0,7,0.16,No,Low Risk
C100347,1.1,24-03-2026,1,8,0.16,No,Medium Risk
C100348,1.3,15-05-2026,2,14,0.16,Yes,Medium Risk
C100349,0.8,18-06-2026,3,4,0.16,No,Medium Risk
C100350,0.6,16-05-2026,1,10,0.135,No,Medium Risk
C100351,1.1,27-05-2026,0,9,0.135,No,Low Risk
C100352,1.1,26-05-2026,0,6,0.135,No,Low Risk
C100353,1.2,22-06-2026,2,9,0.16,No,Medium Risk
C100354,0.8,27-04-2026,1,4,0.135,No,Medium Risk
C100355,0.6,04-05-2026,1,11,0.135,No,Medium Risk
C100356,1.2,27-06-2026,0,16,0.135,No,Low Risk
C100357,0.8,30-06-2026,1,0,0.17,No,Medium Risk
C100358,0.8,08-05-2026,1,9,0.135,No,Medium Risk
C100359,0.9,22-12-2025,1,9,0.16,No,Medium Risk
C100360,0.9,22-06-2026,0,13,0.135,No,Low Risk
C100361,0.9,26-06-2026,0,10,0.135,No,Low Risk
C100362,1.1,29-06-2026,0,15,0.135,No,Low Risk
C100363,1.2,16-05-2026,3,4,0.16,No,Medium Risk
C100364,0.9,16-06-2026,2,10,0.16,No,Medium Risk
C100365,1.2,17-06-2026,1,8,0.135,No,Medium Risk
C100366,0.6,05-06-2026,1,10,0.135,No,Medium Risk
C100367,0.8,29-06-2026,4,10,0.16,No,Medium Risk
C100368,0.9,23-05-2026,3,8,0.16,Yes,Medium Risk
C100369,0.7,25-06-2026,0,15,0.135,No,Low Risk
C100370,0.9,29-05-2026,1,7,0.135,No,Medium Risk
C100371,0.6,31-05-2026,2,9,0.16,No,Medium Risk
C100372,0.9,24-06-2026,1,8,0.135,No,Medium Risk
C100373,0.5,01-06-2026,0,1,0.17,No,Low Risk
C100374,0.6,26-06-2026,1,11,0.135,No,Medium Risk
C100375,0.6,29-06-2026,0,12,0.135,No,Low Risk
C100376,1,11-06-2026,1,6,0.135,No,Medium Risk
C100377,0.6,16-01-2026,0,12,0.16,No,Low Risk
C100378,0.6,25-06-2026,3,7,0.16,No,Medium Risk
C100379,0.9,23-06-2026,1,8,0.135,No,Medium Risk
C100380,0.8,16-04-2026,0,10,0.135,No,Low Risk
C100381,1.1,30-06-2026,2,9,0.16,No,Medium Risk
C100382,0.8,26-06-2026,0,4,0.135,No,Low Risk
C100383,0.6,13-05-2026,0,3,0.17,No,Low Risk
C100384,1.2,17-06-2026,0,11,0.135,Yes,Low Risk
C100385,1.4,17-06-2026,3,8,0.16,Yes,Medium Risk
C100386,0.9,17-06-2026,0,6,0.135,No,Low Risk
C100387,1.2,04-06-2026,1,3,0.17,No,Medium Risk
C100388,0.9,21-06-2026,0,11,0.135,No,Low Risk
C100389,0.6,09-10-2025,1,6,0.16,No,Medium Risk
C100390,0.4,07-03-2026,0,13,0.16,No,Low Risk
C100391,0.6,30-06-2026,1,11,0.135,No,Medium Risk
C100392,1.1,25-06-2026,0,12,0.135,No,Low Risk
C100393,0.8,23-06-2026,1,17,0.135,No,Medium Risk
C100394,1.2,28-06-2026,0,8,0.135,No,Low Risk
C100395,1.1,03-05-2026,1,12,0.135,No,Medium Risk
C100396,0.6,23-06-2026,1,7,0.135,No,Medium Risk
C100397,1.4,03-06-2026,0,7,0.135,No,Low Risk
C100398,0.9,28-06-2026,0,16,0.135,No,Low Risk
C100399,0.8,29-05-2026,1,7,0.135,No,Medium Risk
C100400,0.7,28-03-2026,1,7,0.16,Yes,Medium Risk
C100401,0.7,14-06-2026,0,11,0.135,No,Low Risk
C100402,1.4,03-06-2026,1,10,0.135,No,Medium Risk
C100403,0.7,23-06-2026,1,7,0.135,No,Medium Risk
C100404,0.9,19-06-2026,1,7,0.135,No,Medium Risk
C100405,0.9,06-05-2026,1,17,0.135,No,Medium Risk
C100406,1.1,13-06-2026,0,3,0.17,No,Low Risk
C100407,0.9,17-06-2026,0,15,0.135,No,Low Risk
C100408,0.9,13-06-2026,0,5,0.135,No,Low Risk
C100409,0.9,01-04-2026,3,3,0.195,No,Medium Risk
C100410,1.1,11-04-2026,0,11,0.135,No,Low Risk
C100411,0.7,03-05-2026,0,11,0.135,No,Low Risk
C100412,1.2,09-06-2026,2,8,0.16,Yes,Medium Risk
C100413,0.6,30-05-2026,3,8,0.16,No,Medium Risk
C100414,1,23-06-2026,2,10,0.16,No,Medium Risk
C100415,0.9,30-05-2026,0,6,0.135,Yes,Low Risk
C100416,0.8,28-06-2026,0,9,0.135,No,Low Risk
C100417,1,04-04-2026,1,14,0.135,No,Medium Risk
C100418,0.9,11-06-2026,1,7,0.135,No,Medium Risk
C100419,0.9,22-06-2026,1,11,0.135,No,Medium Risk
C100420,0.9,13-06-2026,2,11,0.16,No,Medium Risk
C100421,0.7,11-05-2026,1,8,0.135,No,Medium Risk
C100422,1.1,15-06-2026,0,9,0.135,No,Low Risk
C100423,1.1,21-06-2026,1,8,0.135,No,Medium Risk
C100424,0.6,24-06-2026,0,0,0.17,No,Low Risk
C100425,0.6,15-06-2026,1,6,0.135,No,Medium Risk
C100426,0.9,29-06-2026,2,11,0.16,No,Medium Risk
C100427,0.7,30-04-2026,0,8,0.135,Yes,Low Risk
C100428,1.1,26-05-2026,0,6,0.135,Yes,Low Risk
C100429,1,04-06-2026,1,8,0.135,No,Medium Risk
C100430,0.9,15-06-2026,1,13,0.135,No,Medium Risk
C100431,1.1,12-05-2026,2,8,0.16,No,Medium Risk
C100432,0.6,30-04-2026,2,12,0.16,No,Medium Risk
C100433,1.1,30-06-2026,0,12,0.135,No,Low Risk
C100434,1,17-05-2026,1,7,0.135,No,Medium Risk
C100435,0.9,14-06-2026,1,5,0.135,No,Medium Risk
C100436,0.6,03-06-2026,0,12,0.135,No,Low Risk
