customer_id,age,gender,city,occupation,annual_income,customer_since,state,income band
C104134,42,Male,Hyderabad,Private Employee,1330300,23-02-2019,Telangana,High
C101654,35,Female,Kolkata,Business Owner,1329600,14-08-2021,West Bengal,High
C103540,23,Male,Hyderabad,Student,1327900,15-04-2019,Telangana,High
C101789,37,Male,Pune,IT Professional,1327800,01-12-2024,Maharashtra,High
C102500,35,Male,Pune,IT Professional,1327700,20-12-2022,Maharashtra,High
C103752,28,Male,Delhi,Government Employee,1325300,16-11-2022,Delhi,High
C103103,30,Male,Mumbai,Private Employee,1325100,25-11-2020,Maharashtra,High
C101074,49,Female,Mumbai,Student,1324900,29-12-2023,Maharashtra,High
C101757,44,Female,Chennai,Business Owner,1321800,24-05-2022,Tamil Nadu,High
C102816,29,Male,Mumbai,Business Owner,1321600,19-05-2020,Maharashtra,High
C102514,27,Female,Bengaluru,Student,1320400,02-05-2021,Karnataka,High
C101923,32,Male,Mumbai,Government Employee,1318900,03-07-2021,Maharashtra,High
C101369,33,Male,Hyderabad,Self Employed,1317200,10-09-2021,Telangana,High
C101595,42,Male,Kochi,Student,1315300,09-06-2024,Kerala,High
C102284,21,Female,Delhi,IT Professional,1314000,29-10-2019,Delhi,High
C104269,21,Male,Hyderabad,Business Owner,1313200,18-02-2025,Telangana,High
C104093,32,Female,Bengaluru,Business Owner,1312200,25-07-2019,Karnataka,High
C100684,59,Male,Delhi,Self Employed,1311400,02-02-2021,Delhi,High
C103735,40,Female,Hyderabad,Self Employed,1310900,13-01-2023,Telangana,High
C103819,42,Female,Delhi,Government Employee,1304200,28-10-2019,Delhi,High
C102423,33,Male,Ahmedabad,Private Employee,1302400,26-10-2024,Gujarat,High
C101515,38,Male,Jaipur,Self Employed,1299500,11-09-2021,Rajasthan,High
C101164,63,Male,Hyderabad,Private Employee,1298500,10-05-2019,Telangana,High
C104653,40,Male,Pune,IT Professional,1297500,24-05-2021,Maharashtra,High
C101680,29,Female,Bengaluru,Government Employee,1296900,22-04-2020,Karnataka,High
C102754,35,Female,Bengaluru,Government Employee,1294400,22-07-2021,Karnataka,High
C102436,30,Male,Mumbai,Student,1292400,01-07-2023,Maharashtra,High
C103118,44,Male,Delhi,Student,1289700,07-09-2023,Delhi,High
C101957,32,Female,Mumbai,Private Employee,1289600,05-02-2019,Maharashtra,High
C102656,38,Male,Ahmedabad,Private Employee,1283600,09-11-2025,Gujarat,High
C101256,25,Male,Pune,IT Professional,1281900,09-04-2022,Maharashtra,High
C101617,45,Male,Jaipur,Private Employee,1281400,14-02-2020,Rajasthan,High
C101278,29,Female,Hyderabad,Private Employee,1279700,29-01-2019,Telangana,High
C100531,38,Male,Pune,IT Professional,1278900,27-09-2022,Maharashtra,High
C100929,22,Female,Pune,Other,1274500,11-01-2023,Maharashtra,High
C100910,28,Female,Bengaluru,Government Employee,1274200,11-08-2022,Karnataka,High
C104553,30,Male,Mumbai,Student,1273000,11-07-2019,Maharashtra,High
C103545,34,Male,Mumbai,Private Employee,1269300,29-07-2025,Maharashtra,High
C103064,28,Male,Bengaluru,Student,1269100,08-02-2022,Karnataka,High
C104534,33,Male,Pune,Self Employed,1267100,18-08-2023,Maharashtra,High
C100407,45,Male,Ahmedabad,Business Owner,1266900,11-11-2024,Gujarat,High
C103434,35,Male,Ahmedabad,Private Employee,1266700,13-05-2025,Gujarat,High
C100260,35,Male,Delhi,Private Employee,1264400,24-07-2022,Delhi,High
C100258,33,Male,Hyderabad,Private Employee,1262700,23-05-2023,Telangana,High
C102881,26,Female,Chennai,Private Employee,1262600,01-02-2020,Tamil Nadu,High
C101253,42,Male,Hyderabad,IT Professional,1261400,13-02-2025,Telangana,High
C102449,59,Male,Mumbai,Private Employee,1261100,04-12-2020,Maharashtra,High
C104160,29,Male,Bengaluru,Other,1258100,11-07-2021,Karnataka,High
C102902,47,Male,Bengaluru,Business Owner,1257100,27-12-2020,Karnataka,High
C100842,41,Male,Ahmedabad,Private Employee,1256100,27-07-2023,Gujarat,High
C102007,23,Female,Bengaluru,Private Employee,1254000,30-12-2019,Karnataka,High
C103621,25,Male,Ahmedabad,IT Professional,1252300,24-03-2024,Gujarat,High
C103818,31,Female,Chennai,Private Employee,1251600,12-01-2023,Tamil Nadu,High
C100637,21,Male,Delhi,IT Professional,1251300,22-11-2024,Delhi,High
C103036,59,Female,Chennai,Business Owner,1248000,26-11-2024,Tamil Nadu,High
C104282,32,Female,Mumbai,Self Employed,1248000,18-02-2021,Maharashtra,High
C104842,34,Male,Hyderabad,Other,1247200,21-03-2021,Telangana,High
C101688,36,Female,Delhi,Student,1246400,06-07-2020,Delhi,High
C101844,40,Male,Kochi,Other,1240700,12-01-2019,Kerala,High
C104178,35,Male,Bengaluru,Other,1237600,21-03-2023,Karnataka,High
C104529,37,Male,Delhi,Self Employed,1237200,27-12-2024,Delhi,High
C100836,23,Male,Mumbai,IT Professional,1234700,04-01-2023,Maharashtra,High
C103645,51,Male,Chennai,Private Employee,1232500,09-01-2022,Tamil Nadu,High
C102918,35,Male,Hyderabad,Government Employee,1232300,29-11-2023,Telangana,High
C104571,39,Male,Chennai,IT Professional,1231200,26-10-2021,Tamil Nadu,High
C102424,35,Female,Bengaluru,Private Employee,1230900,11-12-2024,Karnataka,High
C102696,37,Male,Delhi,IT Professional,1230500,04-05-2019,Delhi,High
C100860,37,Male,Bengaluru,Student,1230400,19-05-2019,Karnataka,High
C104572,35,Female,Chennai,IT Professional,1226300,09-02-2025,Tamil Nadu,High
C103307,32,Male,Delhi,Private Employee,1226100,25-11-2019,Delhi,High
C104543,33,Male,Bengaluru,Private Employee,1225000,28-12-2025,Karnataka,High
C101906,46,Male,Mumbai,IT Professional,1224900,24-07-2022,Maharashtra,High
C100970,21,Female,Bengaluru,Student,1224700,07-06-2025,Karnataka,High
C102389,35,Female,Bengaluru,IT Professional,1223900,25-06-2020,Karnataka,High
C103506,21,Female,Delhi,Business Owner,1223400,27-06-2025,Delhi,High
C103132,29,Male,Bengaluru,IT Professional,1221700,31-07-2021,Karnataka,High
C103672,25,Male,Bengaluru,Student,1220800,24-06-2019,Karnataka,High
C103090,43,Male,Pune,Business Owner,1219100,03-09-2021,Maharashtra,High
C101921,28,Male,Chennai,Government Employee,1218300,19-02-2019,Tamil Nadu,High
C104789,42,Female,Jaipur,Government Employee,1218100,10-11-2023,Rajasthan,High
C101608,30,Other,Delhi,Private Employee,1217800,21-04-2019,Delhi,High
C100461,29,Female,Delhi,Self Employed,1217600,25-02-2023,Delhi,High
C103486,21,Female,Ahmedabad,IT Professional,1217600,06-08-2025,Gujarat,High
C104475,36,Male,Ahmedabad,Government Employee,1213800,18-01-2020,Gujarat,High
C104234,30,Male,Hyderabad,Private Employee,1213400,22-10-2024,Telangana,High
C102619,35,Male,Delhi,Government Employee,1212000,18-11-2020,Delhi,High
C100018,40,Female,Pune,Government Employee,1209900,13-08-2021,Maharashtra,High
C100144,35,Male,Chennai,Private Employee,1209700,15-02-2025,Tamil Nadu,High
C104968,31,Male,Kolkata,Self Employed,1209000,10-04-2021,West Bengal,High
C101156,41,Female,Bengaluru,Business Owner,1207900,01-09-2020,Karnataka,High
C100418,34,Male,Mumbai,IT Professional,1207500,05-08-2022,Maharashtra,High
C104209,43,Female,Kochi,Government Employee,1205500,13-05-2020,Kerala,High
C102055,35,Female,Mumbai,Government Employee,1204400,10-05-2019,Maharashtra,High
C100271,30,Female,Jaipur,Self Employed,1203500,14-04-2020,Rajasthan,High
C100301,26,Male,Hyderabad,Business Owner,1203300,30-06-2019,Telangana,High
C101868,23,Female,Chennai,Self Employed,1203100,27-02-2021,Tamil Nadu,High
C101409,38,Male,Delhi,Private Employee,1202100,16-08-2024,Delhi,High
C101987,28,Male,Hyderabad,Student,1201500,05-01-2023,Telangana,High
C102563,51,Male,Bengaluru,Government Employee,1199800,27-12-2021,Karnataka,High
C103157,21,Other,Hyderabad,Business Owner,1198400,22-04-2023,Telangana,High
C103853,31,Male,Bengaluru,Business Owner,1198100,08-02-2022,Karnataka,High
C101408,43,Male,Mumbai,Business Owner,1195400,30-11-2020,Maharashtra,High
C102766,23,Female,Bengaluru,IT Professional,1195000,09-07-2025,Karnataka,High
C103372,40,Male,Hyderabad,Private Employee,1193900,30-08-2021,Telangana,High
C102415,44,Male,Hyderabad,Private Employee,1192500,07-07-2022,Telangana,High
C104035,40,Female,Pune,Student,1190000,10-09-2022,Maharashtra,High
C104398,35,Female,Ahmedabad,IT Professional,1189700,29-08-2021,Gujarat,High
C101552,45,Male,Bengaluru,Private Employee,1187200,21-10-2022,Karnataka,High
C100786,21,Female,Delhi,Business Owner,1187000,06-05-2019,Delhi,High
C103794,41,Male,Kochi,Student,1186200,14-03-2019,Kerala,High
C103492,25,Male,Hyderabad,Self Employed,1185600,28-11-2021,Telangana,High
C101530,41,Male,Delhi,Self Employed,1185000,10-06-2020,Delhi,High
C101805,30,Female,Delhi,Self Employed,1183800,28-07-2020,Delhi,High
C100227,37,Female,Pune,Business Owner,1183300,30-05-2021,Maharashtra,High
C101859,43,Female,Ahmedabad,Private Employee,1182200,11-10-2021,Gujarat,High
C100846,39,Male,Bengaluru,IT Professional,1182000,16-12-2023,Karnataka,High
C102063,21,Male,Delhi,IT Professional,1179900,05-08-2022,Delhi,High
C103209,34,Male,Kolkata,Government Employee,1176500,09-09-2024,West Bengal,High
C103710,29,Female,Hyderabad,IT Professional,1175800,18-03-2023,Telangana,High
C103111,37,Male,Delhi,Private Employee,1175600,04-12-2020,Delhi,High
C104707,40,Female,Bengaluru,Self Employed,1174200,15-06-2021,Karnataka,High
C101217,31,Female,Hyderabad,IT Professional,1173500,04-08-2019,Telangana,High
C102564,25,Male,Jaipur,Business Owner,1173400,16-03-2024,Rajasthan,High
C100040,42,Male,Mumbai,Private Employee,1169700,23-08-2020,Maharashtra,High
C102141,26,Male,Delhi,Business Owner,1167600,21-01-2020,Delhi,High
C104441,41,Male,Chennai,Government Employee,1167500,08-12-2025,Tamil Nadu,High
C102546,21,Male,Hyderabad,IT Professional,1167400,28-09-2020,Telangana,High
C101064,32,Female,Jaipur,Government Employee,1166700,10-04-2021,Rajasthan,High
C101558,23,Male,Pune,Private Employee,1165500,29-12-2020,Maharashtra,High
C104785,52,Male,Chennai,IT Professional,1165000,25-02-2022,Tamil Nadu,High
C104614,24,Female,Pune,IT Professional,1164000,03-05-2022,Maharashtra,High
C101245,33,Female,Bengaluru,Other,1163800,16-09-2021,Karnataka,High
C103104,21,Male,Mumbai,Private Employee,1163700,05-06-2022,Maharashtra,High
C103979,41,Male,Hyderabad,Other,1161800,26-04-2024,Telangana,High
C103246,44,Male,Pune,Private Employee,1161100,30-06-2025,Maharashtra,High
C104198,21,Female,Ahmedabad,Private Employee,1160900,19-01-2022,Gujarat,High
C103003,42,Male,Pune,Self Employed,1160000,31-10-2022,Maharashtra,High
C102061,23,Female,Jaipur,IT Professional,1157700,03-03-2021,Rajasthan,High
C102183,37,Male,Mumbai,Private Employee,1157000,28-01-2020,Maharashtra,High
C104687,28,Male,Kolkata,Private Employee,1156600,04-07-2024,West Bengal,High
C103693,49,Female,Mumbai,Government Employee,1154400,20-06-2021,Maharashtra,High
C101938,41,Other,Delhi,Private Employee,1154000,05-01-2022,Delhi,High
C100123,35,Male,Mumbai,Private Employee,1153800,07-04-2024,Maharashtra,High
C103806,24,Female,Pune,Student,1153800,01-07-2024,Maharashtra,High
C102037,42,Female,Pune,Government Employee,1152600,10-02-2020,Maharashtra,High
C100505,29,Female,Mumbai,Private Employee,1152500,26-11-2024,Maharashtra,High
C100566,38,Male,Pune,Private Employee,1152300,03-04-2021,Maharashtra,High
C103159,51,Female,Delhi,IT Professional,1151800,22-04-2023,Delhi,High
C103987,31,Female,Mumbai,Business Owner,1151400,23-10-2020,Maharashtra,High
C102869,35,Male,Chennai,Self Employed,1151100,18-10-2022,Tamil Nadu,High
C102992,25,Female,Mumbai,Private Employee,1148100,04-01-2024,Maharashtra,High
C100547,28,Female,Ahmedabad,IT Professional,1146700,22-06-2019,Gujarat,High
C100689,21,Female,Mumbai,Government Employee,1143800,22-03-2020,Maharashtra,High
C104109,39,Male,Hyderabad,IT Professional,1143400,07-12-2021,Telangana,High
C101791,21,Female,Delhi,Business Owner,1143100,10-08-2020,Delhi,High
C103907,46,Female,Mumbai,IT Professional,1141600,03-08-2024,Maharashtra,High
C101508,43,Female,Delhi,Government Employee,1138500,15-12-2023,Delhi,High
C102924,32,Male,Chennai,Self Employed,1137300,10-02-2024,Tamil Nadu,High
C101299,24,Female,Mumbai,IT Professional,1137200,26-05-2019,Maharashtra,High
C102822,32,Female,Delhi,Private Employee,1136000,10-02-2021,Delhi,High
C102327,45,Male,Ahmedabad,Private Employee,1134000,24-03-2020,Gujarat,High
C104480,41,Male,Bengaluru,Student,1131900,03-12-2019,Karnataka,High
C103435,34,Male,Bengaluru,Private Employee,1130900,01-05-2023,Karnataka,High
C104401,28,Female,Kolkata,Business Owner,1130800,23-11-2024,West Bengal,High
C100401,40,Male,Bengaluru,Self Employed,1129100,03-06-2019,Karnataka,High
C101295,46,Other,Mumbai,Private Employee,1125500,11-03-2022,Maharashtra,High
C101659,54,Male,Pune,IT Professional,1123900,13-08-2021,Maharashtra,High
C103439,30,Female,Mumbai,Self Employed,1123000,07-06-2025,Maharashtra,High
C100954,42,Male,Hyderabad,IT Professional,1122500,24-08-2024,Telangana,High
C100269,43,Female,Jaipur,Self Employed,1122100,04-04-2020,Rajasthan,High
C102746,38,Male,Ahmedabad,Student,1119300,29-01-2025,Gujarat,High
C100118,41,Male,Delhi,Other,1118100,24-01-2023,Delhi,High
C103019,21,Female,Bengaluru,IT Professional,1116200,07-12-2025,Karnataka,High
C101142,31,Male,Bengaluru,Private Employee,1114400,15-12-2024,Karnataka,High
C103620,51,Male,Mumbai,Government Employee,1114400,10-05-2020,Maharashtra,High
C101918,46,Female,Jaipur,Student,1112500,08-05-2021,Rajasthan,High
C102419,49,Female,Delhi,Self Employed,1112400,03-07-2024,Delhi,High
C101141,21,Male,Mumbai,IT Professional,1112300,16-03-2019,Maharashtra,High
C100332,41,Female,Hyderabad,Private Employee,1111200,08-06-2020,Telangana,High
C102550,37,Female,Ahmedabad,Self Employed,1109300,02-06-2024,Gujarat,High
C100542,42,Male,Mumbai,IT Professional,1107400,23-01-2025,Maharashtra,High
C100784,34,Female,Mumbai,IT Professional,1106900,08-06-2022,Maharashtra,High
C101719,51,Female,Bengaluru,IT Professional,1106600,05-12-2023,Karnataka,High
C103723,46,Female,Delhi,Private Employee,1103400,08-04-2024,Delhi,High
C100489,30,Male,Delhi,Private Employee,1103200,24-06-2023,Delhi,High
C104642,37,Male,Mumbai,IT Professional,1101500,06-08-2024,Maharashtra,High
C102472,21,Female,Mumbai,Student,1101000,12-06-2019,Maharashtra,High
C104721,25,Male,Bengaluru,IT Professional,1098700,21-07-2024,Karnataka,High
C104123,29,Male,Bengaluru,Student,1096900,09-04-2024,Karnataka,High
C101766,45,Male,Kochi,Business Owner,1095900,10-08-2022,Kerala,High
C101401,26,Female,Bengaluru,Private Employee,1095800,01-09-2023,Karnataka,High
C103583,26,Female,Chennai,Business Owner,1095200,20-09-2021,Tamil Nadu,High
C100837,47,Male,Ahmedabad,IT Professional,1095100,13-07-2019,Gujarat,High
C102709,40,Female,Pune,Government Employee,1094100,24-03-2025,Maharashtra,High
C104261,23,Male,Kolkata,Private Employee,1092300,19-12-2022,West Bengal,High
C103455,37,Female,Hyderabad,Business Owner,1088500,08-05-2025,Telangana,High
C104444,44,Female,Bengaluru,Business Owner,1088200,08-08-2019,Karnataka,High
C100366,35,Female,Hyderabad,Private Employee,1085400,18-09-2021,Telangana,High
C101432,36,Male,Chennai,Self Employed,1082100,23-03-2020,Tamil Nadu,High
C101113,29,Male,Chennai,Private Employee,1081500,15-04-2020,Tamil Nadu,High
C102559,25,Female,Bengaluru,Government Employee,1080200,13-05-2025,Karnataka,High
C101572,37,Male,Hyderabad,Private Employee,1079500,14-12-2020,Telangana,High
C103065,38,Male,Ahmedabad,IT Professional,1077000,26-12-2024,Gujarat,High
C100862,37,Female,Delhi,Business Owner,1075900,25-04-2025,Delhi,High
C104311,39,Female,Chennai,IT Professional,1073900,01-08-2021,Tamil Nadu,High
C104810,21,Male,Delhi,Business Owner,1073200,30-04-2023,Delhi,High
C101962,28,Male,Pune,IT Professional,1072200,14-03-2019,Maharashtra,High
C104601,33,Male,Ahmedabad,Private Employee,1070900,17-05-2019,Gujarat,High
C101338,36,Female,Jaipur,Private Employee,1069200,28-03-2024,Rajasthan,High
C104418,39,Male,Hyderabad,IT Professional,1068700,02-01-2023,Telangana,High
C103681,21,Male,Jaipur,Student,1068400,04-01-2020,Rajasthan,High
C103069,34,Male,Jaipur,Private Employee,1068100,09-05-2025,Rajasthan,High
C104946,42,Male,Delhi,Private Employee,1067200,21-09-2020,Delhi,High
C102390,30,Male,Kochi,Government Employee,1066600,30-08-2022,Kerala,High
C103414,26,Female,Bengaluru,Business Owner,1066300,05-05-2020,Karnataka,High
C104419,43,Female,Delhi,Student,1066200,05-01-2024,Delhi,High
C101570,39,Male,Bengaluru,Business Owner,1065900,14-01-2022,Karnataka,High
C104840,34,Male,Delhi,Self Employed,1065500,22-03-2020,Delhi,High
C101901,28,Male,Chennai,IT Professional,1065400,10-04-2022,Tamil Nadu,High
C104348,29,Female,Jaipur,IT Professional,1064800,06-08-2020,Rajasthan,High
C100439,36,Male,Mumbai,Business Owner,1063600,18-04-2023,Maharashtra,High
C101173,45,Male,Kochi,Self Employed,1063600,20-08-2024,Kerala,High
C100422,26,Female,Bengaluru,Private Employee,1063500,21-11-2023,Karnataka,High
C103183,21,Male,Bengaluru,Other,1063000,25-12-2021,Karnataka,High
C103598,24,Male,Hyderabad,Private Employee,1061700,01-08-2023,Telangana,High
