loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,loan_date
L400172,C103319,Education,1366057.88,7.49,Rejected,19-12-2023
L400173,C104139,Home,766534.15,7.67,Active,29-10-2024
L400174,C104028,Personal,746085.03,13.48,Closed,05-03-2023
L400175,C103024,Education,922034.31,7.85,Closed,19-03-2025
L400176,C102040,Business,360810.42,7.27,Rejected,05-02-2026
L400177,C101449,Personal,806231.12,10.97,Closed,03-09-2023
L400178,C100857,Auto,1319666.55,9.51,Active,08-08-2025
L400179,C104436,Home,250351.13,15.03,Rejected,12-06-2026
L400180,C102438,Education,1051324.73,11.79,Active,09-01-2024
L400181,C101648,Auto,1442102.55,9.64,Closed,27-09-2025
L400182,C102374,Education,645671.63,11.77,Closed,23-11-2025
L400183,C104387,Home,497008.71,7.88,Active,30-08-2025
L400184,C101357,Personal,706853.6,9.01,Active,03-12-2025
L400185,C101057,Personal,431797.55,9.32,Active,05-03-2023
L400186,C104980,Auto,704836.68,7.58,Active,21-08-2025
L400187,C103198,Personal,669496.31,11.25,Rejected,29-12-2023
L400188,C104746,Home,921803.19,13.6,Active,14-05-2023
L400189,C104929,Auto,294683.48,12.71,Active,28-04-2026
L400190,C102455,Home,378384,7.42,Closed,13-10-2023
L400191,C101556,Education,753426.98,10.9,Active,06-06-2026
L400192,C103995,Auto,487791.25,10.21,Active,14-02-2024
L400193,C103080,Business,5000000,14.85,Active,17-10-2025
L400194,C102293,Personal,304459.41,14.18,Defaulted,01-04-2023
L400195,C102601,Personal,603216.22,13.94,Active,15-09-2023
L400196,C101631,Personal,391085.92,7.81,Defaulted,15-04-2023
L400197,C100265,Education,677900.46,8.27,Closed,19-04-2024
L400198,C103214,Auto,294075.62,15.03,Closed,25-07-2024
L400199,C100955,Personal,253113.38,11.16,Active,24-07-2023
L400200,C101410,Personal,1123390.19,8.96,Active,01-02-2024
L400201,C102519,Personal,493965.95,10.48,Defaulted,08-12-2024
L400202,C102739,Personal,570877.87,10.95,Closed,04-06-2023
L400203,C102309,Auto,1025775.36,14,Active,25-01-2025
L400204,C101316,Personal,1700524.64,8.14,Closed,09-09-2023
L400205,C103713,Personal,272984.55,7.29,Rejected,19-03-2026
L400206,C104699,Personal,1391378.3,13.89,Active,01-04-2026
L400207,C102335,Auto,161204.3,10.47,Closed,30-07-2025
L400208,C103093,Home,274332.95,7.67,Rejected,02-01-2023
L400209,C102372,Personal,617532.46,8.42,Active,09-06-2026
L400210,C104733,Personal,53077.74,9.03,Active,07-06-2023
L400211,C101387,Personal,230452.02,13.71,Active,09-08-2023
L400212,C103680,Personal,557357.76,12.67,Rejected,09-02-2025
L400213,C103352,Personal,713551.84,12.93,Closed,18-05-2024
L400214,C104071,Personal,233278.13,11.59,Active,01-11-2023
L400215,C102766,Business,299144.15,15.01,Active,14-01-2023
L400216,C100216,Personal,83875.69,9.42,Rejected,02-08-2024
L400217,C100751,Personal,477580.63,8.89,Active,27-10-2025
L400218,C102248,Auto,908271.23,13.84,Closed,29-01-2023
L400219,C102112,Home,664691.03,11.78,Closed,03-03-2023
L400220,C100574,Home,59677.15,11.05,Active,08-09-2023
L400221,C104174,Education,485288.6,12.03,Closed,28-02-2026
L400222,C100634,Home,175776.66,7.06,Active,02-09-2024
L400223,C102260,Personal,656694.66,7.94,Defaulted,15-01-2025
L400224,C102145,Education,3082811.23,12.24,Rejected,03-05-2025
L400225,C102952,Education,1808665.76,12.11,Rejected,14-09-2023
L400226,C100998,Personal,750891.25,14.13,Active,07-07-2024
L400227,C101466,Auto,415068.42,14.31,Closed,31-10-2025
L400228,C100316,Education,431394.75,8.4,Rejected,21-01-2024
L400229,C101114,Personal,397020.47,11.56,Closed,16-05-2025
L400230,C100345,Education,163530.94,10.88,Active,21-10-2024
L400231,C104121,Education,1572985,14.16,Rejected,03-09-2025
L400232,C104597,Auto,880817.29,11.04,Rejected,08-08-2024
L400233,C101587,Auto,120205.62,9.13,Closed,05-02-2024
L400234,C103575,Home,470476.25,8.36,Closed,27-05-2024
L400235,C100932,Business,614910.83,7.21,Closed,14-03-2024
L400236,C101533,Auto,1864818.56,15.12,Rejected,03-01-2024
L400237,C102537,Education,435197.76,15.25,Closed,05-08-2024
L400238,C101309,Home,1534164.73,8.65,Rejected,19-02-2025
L400239,C101453,Education,203088.42,13.86,Closed,20-03-2024
L400240,C100412,Personal,2998330.51,14.49,Closed,30-04-2023
L400241,C104229,Personal,104997.99,9.91,Active,19-07-2025
L400242,C101525,Home,337036.04,11.84,Active,06-05-2025
L400243,C101604,Home,379695.84,13.18,Active,09-03-2026
L400244,C103434,Home,97996.06,15.48,Rejected,05-02-2026
L400245,C103440,Home,419357.99,12.92,Active,13-05-2024
L400246,C100686,Home,1749844.59,9.52,Closed,23-04-2026
L400247,C102045,Education,883860.08,9.6,Closed,27-06-2024
L400248,C103747,Home,390438.72,9.87,Active,14-02-2023
L400249,C102713,Personal,273638.83,13.63,Rejected,14-12-2024
L400250,C101561,Home,231770.7,8.28,Active,11-01-2025
L400251,C100644,Home,603934.16,15.35,Active,12-05-2026
L400252,C101501,Home,543188.87,12.51,Active,20-05-2023
L400253,C100961,Personal,274810.53,11.97,Active,16-09-2024
L400254,C102592,Business,824656.79,15.16,Active,14-04-2025
L400255,C100851,Personal,461773.1,12.63,Closed,18-01-2024
L400256,C101412,Home,1067216.69,10.14,Active,07-02-2024
L400257,C101268,Personal,384909.36,12.31,Active,15-07-2023
L400258,C100073,Education,208675.65,11.68,Closed,08-11-2023
L400259,C101417,Auto,568976.23,13.99,Rejected,29-07-2025
L400260,C101408,Personal,549879.69,13.51,Active,09-06-2024
L400261,C101199,Home,807334.94,11.2,Closed,09-07-2025
L400262,C102445,Auto,550018.51,10.31,Closed,23-02-2026
L400263,C104754,Personal,298944.8,12.54,Active,09-03-2025
L400264,C102304,Auto,482657.31,10.76,Closed,05-12-2024
L400265,C102794,Auto,243157.03,7.39,Active,07-06-2025
L400266,C103551,Home,326987.21,14.28,Rejected,04-11-2024
L400267,C102307,Personal,912374.11,8.93,Rejected,14-01-2024
L400268,C104707,Business,878465.3,14.64,Active,16-04-2025
L400269,C101900,Home,864180.77,10.35,Closed,10-06-2026
L400270,C103691,Personal,291556.28,7.04,Closed,08-08-2024
L400271,C102786,Education,960355.16,13.03,Rejected,01-08-2024
L400272,C100726,Education,139129.41,12.92,Active,14-05-2024
L400273,C102833,Personal,310390.01,13.22,Active,15-04-2026
L400274,C100610,Auto,972737.65,14.82,Closed,11-03-2026
L400275,C102672,Home,1073521.19,10.86,Closed,26-11-2025
L400276,C104116,Personal,496953.1,9.88,Closed,12-01-2025
L400277,C103929,Home,3161286.72,8.42,Rejected,04-03-2023
L400278,C100972,Education,610655.42,13.19,Active,12-11-2025
L400279,C102634,Personal,302715.62,14.37,Active,16-03-2026
L400280,C103778,Home,198962.53,13.66,Rejected,12-08-2023
L400281,C101746,Business,445468.12,10.26,Active,25-03-2026
L400282,C104285,Personal,443193.8,13.62,Closed,16-01-2024
L400283,C102855,Home,569686.55,11.95,Rejected,23-06-2025
L400284,C104577,Business,698518.28,9.53,Closed,01-07-2024
L400285,C100069,Business,1940784.01,13.46,Rejected,10-02-2025
L400286,C100114,Education,260137.65,7.59,Closed,13-04-2023
L400287,C101646,Business,335911.23,12.77,Active,07-02-2026
L400288,C101794,Business,182347.54,12.28,Active,19-12-2023
L400289,C104760,Home,660824.13,11.99,Closed,22-04-2025
L400290,C100201,Education,273433.03,14.64,Defaulted,26-02-2026
L400291,C102721,Business,549544.94,10.71,Closed,24-12-2025
L400292,C101045,Home,320765.46,12.67,Closed,15-07-2025
L400293,C102505,Home,359750.99,13.45,Active,28-10-2025
L400294,C103740,Personal,358744.19,7.98,Closed,28-10-2025
L400295,C102296,Personal,851692.15,13.64,Active,09-03-2023
L400296,C100914,Business,1831848.49,11.9,Rejected,01-04-2023
L400297,C102200,Personal,261202.79,11.96,Active,02-08-2025
L400298,C104000,Business,254959.16,13.6,Closed,29-10-2025
L400299,C101658,Education,782050.55,13.55,Closed,04-12-2024
L400300,C103371,Personal,205923.85,14.36,Closed,15-07-2024
L400301,C104846,Personal,248329.77,10.83,Active,03-10-2024
L400302,C104865,Home,345097.23,11.16,Active,20-10-2024
L400303,C100102,Home,171432.14,9.6,Active,21-12-2025
L400304,C101247,Personal,542190.23,9.03,Active,21-07-2023
L400305,C100239,Personal,544369.4,9.45,Closed,05-03-2023
L400306,C100709,Auto,303618.41,13.33,Active,11-10-2023
L400307,C101136,Home,124765.88,9.55,Active,11-11-2023
L400308,C103035,Home,214498.11,12.8,Rejected,19-10-2023
L400309,C100429,Auto,1010554.11,8.31,Defaulted,09-02-2023
L400310,C100818,Business,244425.95,9.95,Closed,25-02-2023
L400311,C103129,Education,435741.52,10.26,Active,03-05-2024
L400312,C104886,Home,147948.65,13.6,Rejected,15-11-2024
L400313,C104829,Business,403165.72,11.03,Closed,27-07-2023
L400314,C101845,Auto,1120290.42,9.04,Active,24-03-2026
L400315,C103247,Auto,1265615.61,7.99,Closed,02-02-2023
L400316,C101664,Business,724636.48,11.49,Active,03-12-2024
L400317,C103361,Personal,193933.45,13.29,Active,22-04-2023
L400318,C100017,Education,632068.08,12.7,Closed,09-01-2024
L400319,C103532,Auto,358521.19,12.86,Rejected,07-08-2025
L400320,C104289,Home,387992.79,12.85,Closed,04-06-2023
L400321,C101419,Personal,329347.42,10.58,Closed,05-05-2023
L400322,C104396,Education,1025285.71,11.27,Rejected,12-05-2023
L400323,C103929,Business,314958.71,15.01,Active,06-05-2026
L400324,C102286,Personal,133411.54,14.28,Active,20-09-2025
L400325,C103760,Personal,149396.59,15.39,Active,12-03-2023
L400326,C103458,Personal,331286.82,13.13,Active,03-10-2025
L400327,C100756,Home,1044607.13,11.09,Active,05-02-2026
L400328,C101472,Home,113298.91,15.35,Active,30-09-2024
L400329,C101906,Auto,168313.17,7.99,Active,28-05-2026
L400330,C100533,Personal,989496.17,14.98,Closed,05-03-2026
L400331,C100116,Education,1459920.1,10.87,Defaulted,10-06-2023
L400332,C103858,Personal,620170.76,12.99,Active,07-12-2023
L400333,C103268,Auto,685173.58,10.76,Rejected,26-12-2024
L400334,C101490,Education,340172.42,7.43,Active,21-07-2025
L400335,C104145,Auto,837538.83,9.19,Rejected,15-07-2024
L400336,C103609,Auto,442669.73,10.44,Closed,20-01-2024
L400337,C101798,Home,492512.11,14.45,Active,28-06-2026
L400338,C103390,Education,328039.98,12.5,Closed,26-02-2024
L400339,C102383,Business,429767.92,7.81,Closed,19-08-2024
L400340,C101928,Home,170075.64,11.99,Closed,07-05-2024
L400341,C102655,Personal,260298.42,10.56,Active,25-06-2026
L400342,C104360,Education,373710.62,8.51,Active,05-10-2023
L400343,C101020,Personal,217690.85,14.27,Closed,19-12-2024
L400344,C104770,Business,164786.48,10.8,Closed,05-10-2023
L400345,C102365,Education,194425.4,14.73,Active,09-08-2024
L400346,C100973,Personal,270264.21,7.55,Closed,06-09-2023
L400347,C100182,Personal,691187.75,14.11,Active,05-11-2025
L400348,C102295,Personal,133408.51,15.19,Rejected,30-12-2024
L400349,C102972,Home,641621.99,9.81,Active,12-04-2025
L400350,C102418,Personal,2799032.41,9.29,Active,18-10-2025
L400351,C101718,Education,411552.06,8.93,Active,09-04-2024
L400352,C102979,Personal,475530.09,8.72,Active,06-12-2025
L400353,C102904,Auto,523131.49,10.9,Active,03-07-2023
L400354,C101310,Home,1307878.74,7.93,Closed,22-12-2025
L400355,C101076,Education,208782.42,10.35,Active,17-04-2023
L400356,C100735,Auto,360736.19,9.79,Active,17-09-2023
L400357,C104678,Home,350643.27,9,Active,06-08-2024
L400358,C100024,Business,628816.43,11.13,Active,12-09-2023
L400359,C103964,Home,4196483.06,10.06,Active,18-04-2025
L400360,C100828,Personal,595089.92,9.65,Active,10-07-2023
L400361,C100123,Auto,535883.75,10.83,Active,09-11-2024
L400362,C101185,Personal,387558.94,11.65,Active,08-03-2025
L400363,C102944,Education,493703.02,8.96,Active,02-11-2024
L400364,C102573,Business,288373.73,10.53,Closed,28-08-2023
L400365,C103314,Home,616472.63,9.67,Active,02-09-2023
L400366,C104409,Home,146877.77,8.46,Rejected,26-03-2025
L400367,C101646,Business,219979.08,9.17,Active,10-03-2025
L400368,C104568,Business,251171.83,13.88,Defaulted,27-03-2025
L400369,C100563,Home,1130093.31,8.58,Rejected,23-03-2025
L400370,C100845,Personal,1646972.76,10.14,Closed,11-01-2026
L400371,C103296,Auto,443086.8,14.28,Active,14-10-2023
L400372,C101434,Education,63887.14,8.21,Closed,10-12-2023
L400373,C104900,Home,291895.28,14.33,Rejected,03-03-2026
L400374,C103255,Personal,768175.24,10,Closed,28-02-2026
L400375,C102962,Personal,655594.82,15.28,Active,06-03-2026
L400376,C102836,Business,118756.41,14.84,Active,04-10-2025
L400377,C101034,Business,284604.2,13,Active,15-05-2026
L400378,C101703,Personal,881517.15,14.8,Active,18-03-2023
L400379,C101865,Auto,307186.19,10.28,Active,09-08-2025
L400380,C100550,Home,1137289.96,14.84,Active,06-09-2024
L400381,C100951,Auto,628755.88,9.29,Active,05-04-2024
L400382,C101490,Personal,77942.34,13.58,Active,12-09-2024
L400383,C103006,Home,532847.22,15.11,Rejected,19-01-2025
L400384,C103942,Personal,89231.4,11.32,Closed,20-02-2024
L400385,C104950,Personal,364405.21,12.39,Active,28-01-2023
L400386,C102817,Personal,620875.99,9.54,Rejected,16-01-2024
L400387,C103195,Auto,556173.47,12.16,Closed,19-03-2023
L400388,C104961,Auto,298631.01,11.15,Defaulted,05-11-2024
L400389,C103394,Personal,2042463.2,15.23,Active,24-06-2023
L400390,C101772,Home,112653.62,15.34,Rejected,04-03-2023
L400391,C102625,Home,356625.99,13.27,Rejected,27-05-2023
L400392,C103206,Business,1708000.66,7.51,Active,13-02-2025
L400393,C100089,Business,427230.13,11.33,Closed,14-05-2024
L400394,C100826,Home,203528.74,7.12,Active,13-03-2025
L400395,C104453,Personal,502586.68,15.16,Active,01-02-2026
L400396,C104439,Home,152226.59,14.16,Active,03-04-2026
L400397,C100952,Business,217606.71,9.81,Closed,12-05-2026
L400398,C102643,Personal,376198.14,9.77,Active,26-12-2024
L400399,C100381,Personal,513501.69,15.43,Active,24-03-2025
L400400,C101307,Personal,296025.68,12.7,Rejected,20-11-2025
L400401,C100466,Business,418965.38,7.58,Closed,20-01-2023
L400402,C101357,Auto,274624.7,13.75,Active,09-12-2025
L400403,C100690,Home,1508588.88,7.75,Active,28-05-2026
L400404,C103189,Home,395650.36,11.62,Active,23-10-2025
L400405,C101307,Business,1631884.18,7.69,Active,07-08-2025
L400406,C100359,Personal,242550.54,12.66,Closed,31-01-2026
L400407,C100805,Personal,224545.52,8.9,Rejected,15-02-2025
L400408,C102789,Home,691245.1,14.35,Active,05-02-2023
L400409,C102867,Home,749330.15,10.5,Active,15-04-2023
L400410,C100935,Personal,157052.56,11.53,Closed,28-01-2023
L400411,C102072,Personal,130263.95,8.1,Rejected,18-03-2024
L400412,C102982,Personal,220015.91,15.24,Closed,28-06-2025
L400413,C101238,Home,1070937.62,10.7,Active,17-02-2024
L400414,C101264,Personal,351506.29,8.39,Closed,22-07-2023
L400415,C104532,Auto,301953.55,15.2,Closed,26-04-2026
L400416,C104984,Auto,429744.64,8.85,Active,25-03-2026
L400417,C101789,Home,1156379.28,14.62,Active,06-09-2024
L400418,C101898,Personal,699086.32,14.94,Rejected,27-11-2025
L400419,C104053,Auto,164507.03,7.46,Active,13-10-2023
L400420,C102079,Auto,1185556.75,13.9,Active,14-03-2023
L400421,C101236,Home,544400.07,7.09,Active,16-03-2026
L400422,C103507,Education,616109.78,15,Closed,16-02-2026
L400423,C103258,Auto,368904.24,7.47,Closed,04-07-2025
L400424,C101640,Home,1866403.58,8.31,Rejected,24-06-2025
L400425,C103412,Personal,847959.3,8.87,Active,25-04-2024
L400426,C103860,Home,338793.43,13.15,Closed,03-04-2026
L400427,C103946,Personal,800984.44,8.05,Closed,27-10-2025
L400428,C104230,Personal,103039.62,15.44,Rejected,05-01-2024
L400429,C104545,Home,105061.01,7.74,Closed,03-06-2025
L400430,C103307,Auto,1056151.73,8.4,Active,16-09-2025
L400431,C103661,Home,1095902.25,12.69,Closed,29-12-2025
L400432,C101483,Personal,402950.35,15.38,Active,13-09-2024
L400433,C103478,Personal,344005.59,10.81,Rejected,10-08-2023
L400434,C101021,Business,1152158.03,11.57,Closed,04-01-2025
L400435,C103255,Home,458190.87,12.12,Active,05-01-2024
L400436,C102901,Home,247082.72,14.49,Closed,27-08-2023
L400437,C102780,Education,296247.45,11.05,Closed,22-01-2026
L400438,C104708,Business,1067706.72,9.19,Active,17-09-2024
L400439,C104951,Home,1121174.94,14.79,Active,25-03-2026
L400440,C102002,Home,380403.81,13.5,Rejected,05-10-2023
L400441,C102962,Home,198959.26,7.51,Active,18-10-2024
L400442,C103932,Personal,164405.49,9.09,Active,18-04-2024
L400443,C103571,Business,395294.4,14.07,Active,05-10-2023
